 time,CH1 ,CH2 ,CH3 ,CH4 ,CH5 ,CH6 ,CH7 ,CH8 ,CNT ,Freq  ,Latency ,Urevent  
 24-11-06 22:37:12.520,-458362,-815681,-894305,-570202,-713920,-628432,-662269,-742334,9541,1,9541,3
 24-11-06 22:37:12.520,-458403,-815721,-894646,-570537,-714181,-628753,-662661,-742741,9542,1,9541,3
 24-11-06 22:37:12.521,-458235,-815524,-894653,-570579,-714196,-628862,-662318,-742808,9543,1,9541,3
 24-11-06 22:37:12.523,-458213,-815460,-894696,-570674,-714286,-628796,-662229,-742931,9544,1,9541,3
 24-11-06 22:37:12.523,-458393,-815640,-894826,-570787,-714644,-628954,-662532,-743118,9545,1,9541,3
 24-11-06 22:37:12.527,-458742,-815840,-895170,-571081,-715377,-629350,-663332,-743407,9546,1,9541,3
 24-11-06 22:37:12.528,-458778,-815736,-895125,-570992,-715117,-629042,-663116,-743281,9547,1,9541,3
 24-11-06 22:37:12.528,-458790,-815726,-895010,-570801,-714797,-628943,-662883,-743054,9548,1,9541,3
 24-11-06 22:37:12.528,-458855,-815794,-894969,-570731,-714721,-629069,-662821,-743023,9549,1,9541,3
 24-11-06 22:37:12.528,-458733,-815660,-894702,-570552,-714531,-628918,-662318,-742841,9550,1,9541,3
 24-11-06 22:37:12.530,-458481,-815607,-894402,-570250,-714177,-628531,-661833,-742501,9551,1,9541,3
 24-11-06 22:37:12.531,-458241,-815443,-894205,-569909,-713953,-628344,-661592,-742086,9552,1,9541,3
 24-11-06 22:37:12.531,-458488,-815182,-894041,-569834,-714153,-628678,-661371,-742054,9553,1,9541,3
 24-11-06 22:37:12.532,-459044,-814887,-893685,-569819,-714346,-629253,-660973,-742159,9554,1,9541,3
 24-11-06 22:37:12.533,-459214,-814828,-893601,-569798,-714360,-629382,-661022,-742201,9555,1,9541,3
 24-11-06 22:37:12.534,-458996,-814837,-893623,-569779,-714174,-629077,-661257,-742071,9556,1,9541,3
 24-11-06 22:37:12.536,-458754,-814978,-893728,-569912,-713994,-628849,-661315,-742051,9557,1,9541,3
 24-11-06 22:37:12.536,-458474,-815092,-893828,-570067,-713854,-628558,-661435,-742144,9558,1,9541,3
 24-11-06 22:37:12.537,-458334,-815102,-894040,-570184,-713866,-628452,-661597,-742242,9559,1,9541,3
 24-11-06 22:37:12.539,-458134,-814921,-894047,-570150,-713699,-628269,-661399,-742180,9560,1,9541,3
 24-11-06 22:37:12.539,-458190,-814956,-894088,-570292,-713666,-628049,-661436,-742273,9561,1,9541,3
 24-11-06 22:37:12.540,-458411,-815224,-894364,-570696,-714094,-628457,-662058,-742750,9562,1,9541,3
 24-11-06 22:37:12.541,-459071,-815535,-894892,-571266,-715012,-629684,-663031,-743455,9563,1,9541,3
 24-11-06 22:37:12.544,-459047,-815536,-894998,-571400,-715026,-629719,-663126,-743648,9564,1,9541,3
 24-11-06 22:37:12.544,-458732,-815549,-894931,-571257,-714666,-629189,-662914,-743469,9565,1,9541,3
 24-11-06 22:37:12.544,-458686,-815446,-894913,-571096,-714392,-628647,-662834,-743317,9566,1,9541,3
 24-11-06 22:37:12.545,-458534,-815315,-894814,-570941,-714296,-627955,-662844,-743191,9567,1,9541,3
 24-11-06 22:37:12.547,-458223,-815219,-894652,-570635,-714120,-627870,-662690,-742975,9568,1,9541,3
 24-11-06 22:37:12.547,-458066,-815180,-894532,-570392,-713971,-628177,-662258,-742809,9569,1,9541,3
 24-11-06 22:37:12.548,-458131,-814956,-894257,-570071,-713612,-627914,-661505,-742521,9570,1,9541,3
 24-11-06 22:37:12.549,-458381,-814642,-893979,-569845,-713511,-628212,-660857,-742284,9571,1,9541,3
 24-11-06 22:37:12.550,-458686,-814537,-893845,-569889,-713836,-629030,-660677,-742184,9572,1,9541,3
 24-11-06 22:37:12.552,-458766,-814777,-893951,-569886,-714078,-629154,-660949,-742074,9573,1,9541,3
 24-11-06 22:37:12.552,-458694,-814636,-893811,-569663,-713809,-628793,-660599,-741807,9574,1,9541,3
 24-11-06 22:37:12.559,-458606,-814391,-893602,-569529,-713581,-628596,-660304,-741660,9575,1,9541,3
 24-11-06 22:37:12.559,-458538,-814332,-893491,-569524,-713578,-628545,-660342,-741692,9576,1,9541,3
 24-11-06 22:37:12.559,-458529,-814399,-893578,-569612,-713557,-628622,-660414,-741832,9577,1,9541,3
 24-11-06 22:37:12.559,-458503,-814612,-893826,-569892,-713709,-628777,-660793,-742019,9578,1,9541,3
 24-11-06 22:37:12.559,-458461,-814834,-894031,-570121,-713907,-628841,-661238,-742197,9579,1,9541,3
 24-11-06 22:37:12.559,-458424,-815109,-894160,-570328,-714006,-628710,-661473,-742406,9580,1,9541,3
 24-11-06 22:37:12.560,-458357,-815676,-894492,-570503,-714139,-628557,-661962,-742613,9581,1,9541,3
 24-11-06 22:37:12.560,-458264,-815911,-894889,-570676,-714162,-628332,-662356,-742812,9582,0,9582,4
 24-11-06 22:37:12.561,-458044,-815349,-894781,-570657,-713992,-628072,-662227,-742749,9583,0,9582,4
 24-11-06 22:37:12.563,-458077,-815367,-894857,-570744,-714070,-628094,-662439,-742844,9584,0,9582,4
 24-11-06 22:37:12.563,-458175,-815525,-894943,-570796,-713970,-628007,-662486,-742881,9585,0,9582,4
 24-11-06 22:37:12.564,-458384,-815619,-895042,-570884,-714290,-628457,-662663,-743074,9586,0,9582,4
 24-11-06 22:37:12.565,-458415,-815644,-895060,-570995,-714482,-628764,-662715,-743108,9587,0,9582,4
